Month,Division,Account,Shipped_Sales,Shipped_COGS,Margin_Dollars,Units,Transactions,Margin_Pct
1,Division A - Core/Licensed,Retailer 033,11935.79,8480.52,3455.27,2594,10,28.95
1,Division A - Core/Licensed,Retailer 026,4932.8,11504.94,-6572.14,4942,8,-133.23
1,Division A - Core/Licensed,Department Store C,67035.23,43551.33,23483.9,10627,7,35.03
1,Division A - Core/Licensed,Off-Price Retailer B,173177.59,131726.43,41451.16,48837,6,23.94
1,Division A - Core/Licensed,Specialty Retailer B,219584.31,207271.35,12312.96,69047,61,5.61
1,Division A - Core/Licensed,Off-Price Retailer C,50540.19,30462.91,20077.28,6135,3,39.73
1,Division A - Core/Licensed,Specialty Retailer D,91308.65,57993.32,33315.33,22350,6,36.49
1,Division A - Core/Licensed,Retailer 059,5398.8,4079.27,1319.53,1320,2,24.44
1,Division A - Core/Licensed,Value Retailer B,125330.62,77904.81,47425.81,17850,23,37.84
1,Division A - Core/Licensed,Value Retailer A,28536.93,20936.76,7600.17,7148,5,26.63
1,Division A - Core/Licensed,Department Store A,357586.65,277660.45,79926.2,78236,32,22.35
1,Division A - Core/Licensed,Department Store B,396322.65,282756.5,113566.15,72909,56,28.65
1,Division A - Core/Licensed,Brand Direct B,21913.74,15846.15,6067.59,4717,3,27.69
1,Division A - Core/Licensed,Retailer 050,7240.66,3510.63,3730.03,1236,1,51.52
1,Division A - Core/Licensed,Specialty Retailer A,890593.57,626103.16,264490.41,203541,58,29.7
1,Division A - Core/Licensed,Off-Price Retailer A,8388.17,12941.75,-4553.58,5320,1,-54.29
1,Division A - Core/Licensed,E-Commerce A,28211.61,21855.78,6355.83,2569,1,22.53
1,Division A - Core/Licensed,Retailer 022,74496.76,48855.97,25640.79,10792,4,34.42
1,Division A - Core/Licensed,National Retailer B,1548553.13,1228196.49,320356.64,423481,33,20.69
1,Division A - Core/Licensed,National Retailer A,558651.95,489471.89,69180.06,145965,44,12.38
1,Division A - Core/Licensed,Retailer 068,14001.98,10123.39,3878.59,1346,3,27.7
1,Division A - Core/Licensed,Retailer 047,1592.48,1429.66,162.82,805,5,10.22
1,Division A - Core/Licensed,Specialty Retailer C,8775.13,10400.49,-1625.36,3458,5,-18.52
1,Division C - Global Brands,Retailer 054,5647.6,3110.62,2536.98,637,39,44.92
1,Division C - Global Brands,Retailer 033,12237.12,7677.28,4559.84,1711,8,37.26
1,Division C - Global Brands,Retailer 026,2625.57,1794.39,831.18,507,2,31.66
1,Division C - Global Brands,Department Store C,191971.55,118300.22,73671.33,28074,16,38.38
1,Division C - Global Brands,Retailer 044,11317.22,6991.91,4325.31,1407,6,38.22
1,Division C - Global Brands,Specialty Retailer B,257246.31,189964.27,67282.04,44037,10,26.15
